country,year,ear_l9l1_noc_rt
kaz,1997,10.2
kaz,1998,11.3
kaz,1999,9.4
kaz,2000,8.3
kaz,2001,8.8
kaz,2002,8.1
kaz,2003,7.4
kaz,2004,6.8
kaz,2005,6.8
kaz,2006,7.4
kaz,2007,7.2
kaz,2008,6.2
kaz,2009,5.3
kaz,2010,5.7
kor,1995,3.2
kor,1996,3.3
kor,1997,3.2
kor,1998,3.3
kor,1999,3.4
kor,2000,3.5
kor,2001,3.5
kor,2002,3.7
kor,2003,3.7
kor,2004,3.8
kor,2005,3.7
kor,2006,3.9
kor,2007,4.0
kor,2008,4.1
kor,2009,4.0
kor,2010,4.0
ltu,2010,4.5
ltu,2011,4.6
lux,2008,4.2
lux,2009,4.2
lux,2010,4.2
lux,2011,4.2
lva,2008,7.0
lva,2009,8.5
lva,2010,9.1
lva,2011,8.7
mda,2006,5.1
mda,2007,5.0
mda,2008,4.8
mda,2009,4.4
mda,2010,4.1
mda,2011,4.3
mex,1995,6.7
mex,1996,6.9
mex,1997,7.3
mex,1998,6.7
mex,1999,6.0
mex,2000,6.5
mex,2001,6.2
mex,2002,5.8
mex,2003,5.8
mex,2004,6.3
mex,2005,6.2
mex,2006,5.8
mex,2007,5.8
mex,2008,5.7
mex,2009,5.9
mex,2010,5.9
mex,2011,5.5
mlt,2008,2.7
mlt,2009,2.7
mlt,2010,2.7
mlt,2011,4.7
nld,1995,2.8
nld,1996,2.8
nld,1997,2.8
nld,1998,2.9
nld,1999,2.9
nld,2000,2.9
nld,2001,2.9
nld,2002,2.9
nld,2003,2.9
nld,2004,2.9
nld,2005,2.9
nor,1997,1.9
nor,1998,1.9
nor,1999,2.0
nor,2000,2.0
nor,2001,2.1
nor,2002,2.1
nor,2003,2.1
nor,2004,2.1
nor,2005,2.1
nor,2006,2.2
nor,2007,2.2
nor,2008,2.3
nor,2009,2.3
nor,2010,2.3
nor,2011,2.3
nzl,1998,8.9
nzl,1999,9.1
nzl,2000,8.5
nzl,2001,8.5
nzl,2002,8.2
nzl,2003,7.9
nzl,2004,7.7
nzl,2005,7.9
nzl,2006,7.2
nzl,2007,7.7
nzl,2008,7.4
nzl,2009,6.9
nzl,2010,7.3
nzl,2011,6.9
pan,1995,8.8
pan,1996,8.5
pan,1997,8.7
pan,1998,8.9
pan,1999,8.0
pan,2000,8.3
pan,2001,7.4
pan,2002,8.7
pan,2003,9.3
pan,2004,8.0
pan,2005,8.9
pan,2006,8.9
pan,2007,8.0
pan,2008,7.5
pan,2009,7.3
pan,2010,6.6
per,1995,8.5
per,1997,7.4
per,1998,7.7
per,1999,9.4
per,2000,7.5
per,2001,9.7
per,2002,6.7
per,2003,6.3
per,2004,11.5
per,2005,11.4
per,2006,11.8
per,2007,12.5
per,2008,11.2
per,2009,10.3
per,2010,10.5
pol,1995,3.4
pol,1996,3.5
pol,1997,3.5
pol,1998,3.4
pol,1999,3.6
pol,2001,3.7
pol,2002,4.0
pol,2004,4.1
pol,2006,4.3
pol,2008,4.1
pol,2010,4.0
prt,1995,4.0
prt,1996,4.0
prt,1997,3.9
prt,1998,4.0
prt,1999,3.9
prt,2000,3.8
prt,2002,3.8
prt,2003,3.9
prt,2004,3.9
prt,2005,3.9
prt,2006,3.9
prt,2007,3.9
prt,2008,3.8
prt,2009,3.8
svk,2002,3.4
svk,2003,3.5
svk,2004,3.7
svk,2005,3.6
svk,2006,3.6
svk,2007,3.6
svk,2008,3.7
svk,2009,3.8
svk,2010,3.9
svk,2011,3.8
swe,2005,2.0
swe,2006,2.0
swe,2007,2.1
swe,2008,2.1
swe,2009,2.0
swe,2010,2.0
swe,2011,2.0
tur,2006,11.9
tur,2007,10.1
tur,2008,10.3
tur,2009,10.8
tur,2010,12.9
ury,2000,9.5
ury,2001,11.6
ury,2002,11.8
ury,2003,11.9
ury,2004,11.6
ury,2005,12.1
ury,2006,12.1
ury,2007,13.7
ury,2008,13.7
ury,2009,13.3
ury,2010,13.1
ury,2011,12.1
usa,1995,4.6
usa,1996,4.6
usa,1997,4.6
usa,1998,4.5
usa,1999,4.5
usa,2000,4.5
usa,2001,4.6
usa,2002,4.7
usa,2003,4.7
usa,2004,4.8
usa,2005,4.9
usa,2006,4.8
usa,2007,4.9
usa,2008,4.9
usa,2009,5.0
usa,2010,5.0
usa,2011,5.0
ven,1995,6.4
ven,1996,8.7
ven,1997,8.4
ven,1998,8.9
ven,1999,7.4
ven,2000,6.2
ven,2001,6.5
ven,2002,6.9
ven,2003,6.9
ven,2004,6.0
ven,2005,9.4
ven,2006,5.3
ven,2007,4.7
ven,2008,4.6
ven,2009,4.0
ven,2010,3.7
