country,year,lap_egva_noc_rt
nor,1996,45.9
nor,2005,41.7
lso,2004,16.7
lso,2005,16.9
mlt,1999,45.7
ant,1998,60.4
ant,2000,57.8
ant,2005,54.0
ant,2008,58.3
ltu,2004,44.3
ltu,2005,44.9
omn,2005,26.5
jor,1998,38.9
jor,2002,37.9
jor,2003,38.2
ltu,2011,43.9
mus,2011,33.8
kaz,1998,37.7
kaz,2005,33.0
kaz,2009,33.9
kaz,2010,34.5
lux,2005,46.1
ken,2001,35.3
mex,2003,31.4
mex,2006,28.6
mac,2004,27.3
mac,2005,28.7
mac,2007,30.8
ner,1999,15.6
ner,2001,14.3
ner,2006,16.6
nga,2000,4.0
svn,2007,49.8
pan,2004,34.7
pan,2005,33.1
zaf,2007,43.8
zaf,2008,44.1
png,1997,24.6
png,2002,18.9
sdn,2002,28.9
qat,2002,22.7
rou,2005,44.3
esp,2009,49.0
swe,1996,54.5
rus,2009,51.7
sen,2005,21.0
srb,1998,53.3
srb,2003,51.4
srb,2005,46.9
sle,2006,39.5
phl,2000,26.2
phl,2007,27.8
omn,2008,21.5
pol,1997,41.7
pol,1998,42.0
tun,1999,35.7
tun,2000,35.5
tun,2009,36.1
che,2000,64.2
che,2005,65.8
che,2008,64.5
gbr,1997,51.8
gbr,2006,53.7
gbr,2008,53.2
tjk,2004,13.5
tjk,2005,14.0
are,2002,24.4
are,2005,21.1
tza,2003,13.9
tza,2005,12.3
tza,2008,13.9
mkd,1997,51.1
usa,2002,57.8
usa,2003,57.6
usa,2008,56.4
ury,2000,41.1
ury,2001,40.6
ury,2002,38.2
ury,2003,33.9
ven,2007,32.3
aut,1995,59.5
aut,1999,57.8
aut,2003,55.5
aut,2009,56.3
bgr,2007,33.9
bgr,2009,37.8
bgr,2010,36.5
bfa,2002,24.9
aze,2009,17.4
arg,1998,38.3
arg,2004,36.1
arg,2007,42.9
bhr,2002,38.1
blr,1998,51.8
blr,2000,51.3
blr,2007,54.3
chl,2008,39.4
bel,1998,50.8
bel,2004,50.7
btn,2001,99.9
bol,1995,33.0
bol,1999,34.6
bol,2001,36.0
bol,2004,32.6
bol,2009,27.8
chn,2001,58.6
bih,2009,51.4
bwa,2000,25.2
bdi,2007,22.8
cmr,2000,20.0
aus,1995,49.9
can,2003,51.2
can,2006,51.3
irl,2009,45.9
fin,1995,49.5
fin,2006,48.7
dnk,1998,53.4
dnk,2004,53.6
dnk,2009,58.7
fra,1996,51.9
hkg,2002,52.3
cri,2001,47.5
cri,2003,47.3
fra,2000,51.9
hrv,2005,48.3
egy,1996,25.6
hun,2000,52.7
cub,1997,39.7
cub,2002,37.0
deu,2003,52.4
cyp,2005,45.0
cyp,2009,46.1
est,2007,46.6
est,2009,51.6
fji,2001,39.4
grc,2001,32.7
gtm,2001,33.4
irn,1997,23.7
irn,2000,23.2
irn,2006,22.6
cze,2003,43.8
cze,2004,42.7
gtm,2004,32.0
gtm,2009,30.6
civ,1998,21.5
mda,2005,49.9
mng,2003,25.5
mng,2007,21.6
mng,2008,24.8
mar,2001,33.0
mar,2003,32.3
kor,1997,51.3
kor,1999,47.9
moz,2003,26.5
isr,1995,51.1
isr,1997,51.7
isr,2002,51.7
isr,2009,48.7
